year;province_name;poverty_amount;poverty_percentage;unemployed_percentage;uneducated_percentage
2023;Aceh;806750;14,45;46,56;63,4
2023;Sumatera Utara;1239710;8,15;40,52;63,26
2023;Sumatera Barat;340370;5,95;40,3;69,42
2023;Riau;485660;6,68;50,7;69,1
2023;Jambi;280680;7,58;44;73,12
2023;Sumatera Selatan;1045680;11,78;43,12;73,69
2023;Bengkulu;288460;14,04;37,33;67,92
2023;Lampung;970670;11,11;43,03;74,47
2023;Bangka Belitung;68690;4,52;45,04;80,3
2023;Kepulauan Riau;142500;5,69;44,71;66,42
2023;DKI Jakarta;477830;4,44;54,38;55,68
2023;Jawa Barat;3888600;7,62;49,01;80,16
2023;Jawa Tengah;3791500;10,77;39,33;79,13
2023;DI Yogyakarta;448470;11,04;35,97;68,35
2023;Jawa Timur;4188810;10,35;39,54;77,56
2023;Banten;826130;6,17;52,74;77,01
2023;Bali;193780;4,25;35,35;68,8
2023;Nusa Tenggara Barat;751230;13,85;38,12;76,89
2023;Nusa Tenggara Timur;1141110;19,96;33,71;83,83
2023;Kalimantan Barat;353350;6,71;44,29;82,84
2023;Kalimantan Tengah;142170;5,11;45,8;79,43
2023;Kalimantan Selatan;188930;4,29;45,09;81,62
2023;Kalimantan Timur;231080;6,11;48,27;66,35
2023;Kalimantan Utara;47970;6,45;44,82;80,27
2023;Sulawesi Utara;189000;7,38;51,66;67,14
2023;Sulawesi Tengah;395660;12,41;43,97;79,04
2023;Sulawesi Selatan;788850;8,7;50,48;71,8
2023;Sulawesi Tenggara;321530;11,43;45,8;74,84
2023;Gorontalo;183720;15,15;41,43;83,24
2023;Sulawesi Barat;164140;11,49;42,31;71,59
2023;Maluku;301610;16,42;47,31;67,64
2023;Maluku Utara;83800;6,46;43,08;73,39
2023;Papua Barat;214980;20,49;42,02;66,26
2023;Papua;915150;26,03;27,22;80,5
2022;Aceh;806820;14,64;47,71;64,83
2022;Sumatera Utara;1268190;8,42;39,69;62,21
2022;Sumatera Barat;335210;5,92;48,2;70,99
2022;Riau;485030;6,78;49,08;69,87
2022;Jambi;279370;7,62;47,92;74,31
2022;Sumatera Selatan;1044690;11,9;43,77;72,36
2022;Bengkulu;297230;14,62;38,63;69,81
2022;Lampung;1002410;11,57;41,48;76,38
2022;Bangka Belitung;66780;4,45;53,93;75,28
2022;Kepulauan Riau;151680;6,24;54,01;64,88
2022;DKI Jakarta;502040;4,69;55;47,85
2022;Jawa Barat;4070980;8,06;50,47;78,92
2022;Jawa Tengah;3831440;10,93;41,42;80,96
2022;DI Yogyakarta;454760;11,34;35,5;70,18
2022;Jawa Timur;4181290;10,38;41,04;77,64
2022;Banten;814020;6,16;49,63;74,57
2022;Bali;205690;4,57;39,22;73,03
2022;Nusa Tenggara Barat;731940;13,68;36,92;78,26
2022;Nusa Tenggara Timur;1131620;20,05;35,21;83,47
2022;Kalimantan Barat;350250;6,73;41,25;83,89
2022;Kalimantan Tengah;145100;5,28;48,13;76,01
2022;Kalimantan Selatan;195700;4,49;48,25;78,46
2022;Kalimantan Timur;236250;6,31;53,29;65,08
2022;Kalimantan Utara;49460;6,77;49,38;76,13
2022;Sulawesi Utara;185140;7,28;53,53;69,4
2022;Sulawesi Tengah;388360;12,33;47,39;79,43
2022;Sulawesi Selatan;777440;8,63;47,67;75,04
2022;Sulawesi Tenggara;309790;11,17;46,99;71,3
2022;Gorontalo;185440;15,42;44,5;80,28
2022;Sulawesi Barat;165720;11,75;41,2;78,45
2022;Maluku;290570;15,97;49,79;64,42
2022;Maluku Utara;79880;6,23;51,63;71,45
2022;Papua Barat;218780;21,33;48,09;62,88
2022;Papua;922120;26,56;25,37;81,06
2021;Aceh;834240;15,33;47,64;63,98
2021;Sumatera Utara;1343860;9,01;39,44;64,32
2021;Sumatera Barat;370670;6,63;42,81;73,84
2021;Riau;500810;7,12;49,32;72,09
2021;Jambi;293860;8,09;45,2;75,26
2021;Sumatera Selatan;1113760;12,84;41,76;76,01
2021;Bengkulu;306000;15,22;36,21;70,92
2021;Lampung;1083930;12,62;41,47;79,29
2021;Bangka Belitung;72710;4,9;44,44;79,31
2021;Kepulauan Riau;144460;6,12;46,02;65,69
2021;DKI Jakarta;501920;4,72;48,5;55,04
2021;Jawa Barat;4195340;8,4;49,59;82,77
2021;Jawa Tengah;4109750;11,79;40,88;82,65
2021;DI Yogyakarta;506450;12,8;37,62;70,21
2021;Jawa Timur;4572730;11,4;40,6;79,54
2021;Banten;867230;6,66;51,47;77,93
2021;Bali;201970;4,53;37,12;71,84
2021;Nusa Tenggara Barat;746660;14,14;38,02;76,71
2021;Nusa Tenggara Timur;1169310;20,99;34,78;85,04
2021;Kalimantan Barat;367890;7,15;39,82;84,45
2021;Kalimantan Tengah;140040;5,16;44,86;80,54
2021;Kalimantan Selatan;208110;4,83;40,68;82,5
2021;Kalimantan Timur;241770;6,54;48,81;66,92
2021;Kalimantan Utara;52860;7,36;50,53;80,17
2021;Sulawesi Utara;196350;7,77;56,23;71,37
2021;Sulawesi Tengah;404440;13;40,96;80,78
2021;Sulawesi Selatan;784980;8,78;47,61;79,06
2021;Sulawesi Tenggara;318700;11,66;40,81;76,68
2021;Gorontalo;186290;15,61;45,51;82,01
2021;Sulawesi Barat;157190;11,29;36,64;80,91
2021;Maluku;321810;17,87;47,93;67,62
2021;Maluku Utara;87160;6,89;49,5;69,72
2021;Papua Barat;219070;21,84;41,25;65,77
2021;Papua;920440;26,86;26,68;83,44
