province_name;name
Aceh;Simeulue
Aceh;Aceh Singkil
Aceh;Aceh Selatan
Aceh;Aceh Tenggara
Aceh;Aceh Timur
Aceh;Aceh Tengah
Aceh;Aceh Barat
Aceh;Aceh Besar
Aceh;Pidie
Aceh;Bireuen
Aceh;Aceh Utara
Aceh;Aceh Barat Daya
Aceh;Gayo Lues
Aceh;Aceh Tamiang
Aceh;Nagan Raya
Aceh;Aceh Jaya
Aceh;Bener Meriah
Aceh;Pidie Jaya
Aceh;Banda Aceh
Aceh;Sabang
Aceh;Langsa
Aceh;Lhokseumawe
Aceh;Subulussalam
Sumatera Utara;Nias
Sumatera Utara;Mandailing Natal
Sumatera Utara;Tapanuli Selatan
Sumatera Utara;Tapanuli Tengah
Sumatera Utara;Tapanuli Utara
Sumatera Utara;Toba Samosir
Sumatera Utara;Labuhanbatu
Sumatera Utara;Asahan
Sumatera Utara;Simalungun
Sumatera Utara;Dairi
Sumatera Utara;Karo
Sumatera Utara;Deli Serdang
Sumatera Utara;Langkat
Sumatera Utara;Nias Selatan
Sumatera Utara;Humbang Hasundutan
Sumatera Utara;Pakpak Barat
Sumatera Utara;Samosir
Sumatera Utara;Serdang Bedagai
Sumatera Utara;Batu Bara
Sumatera Utara;Padang Lawas Utara
Sumatera Utara;Padang Lawas
Sumatera Utara;Labuhanbatu Selatan
Sumatera Utara;Labuhanbatu Utara
Sumatera Utara;Nias Utara
Sumatera Utara;Nias Barat
Sumatera Utara;Sibolga
Sumatera Utara;Kota Tanjungbalai
Sumatera Utara;Pematangsiantar
Sumatera Utara;Tebingtinggi
Sumatera Utara;Kota Medan
Sumatera Utara;Kota Binjai
Sumatera Utara;Padangsidimpuan
Sumatera Utara;Gunungsitoli
Sumatera Barat;Kepulauan Mentawai
Sumatera Barat;Pesisir Selatan
Sumatera Barat;Solok
Sumatera Barat;Sijunjung
Sumatera Barat;Tanah Datar
Sumatera Barat;Padang Pariaman
Sumatera Barat;Agam
Sumatera Barat;Lima Puluh Kota
Sumatera Barat;Pasaman
Sumatera Barat;Solok Selatan
Sumatera Barat;Dharmasraya
Sumatera Barat;Pasaman Barat
Sumatera Barat;Padang
Sumatera Barat;Kota Solok
Sumatera Barat;Sawahlunto
Sumatera Barat;Padang Panjang
Sumatera Barat;Bukittinggi
Sumatera Barat;Payakumbuh
Sumatera Barat;Pariaman
Riau;Kuantan Singingi
Riau;Indragiri Hulu
Riau;Indragiri Hilir
Riau;Pelalawan
Riau;Siak
Riau;Kampar
Riau;Rokan Hulu
Riau;Bengkalis
Riau;Rokan Hilir
Riau;Kepulauan Meranti
Riau;Pekanbaru
Riau;Dumai
Jambi;Kerinci
Jambi;Merangin
Jambi;Sarolangun
Jambi;Batang Hari
Jambi;Muaro Jambi
Jambi;Tanjung Jabung T
Jambi;Tanjung Jabung B
Jambi;Tebo
Jambi;Bungo
Jambi;Jambi
Jambi;Sungai Penuh
Sumatera Selatan;Ogan Komering Ulu
Sumatera Selatan;Ogan Komering Ilir
Sumatera Selatan;Muara Enim
Sumatera Selatan;Lahat
Sumatera Selatan;Musi Rawas
Sumatera Selatan;Musi Banyuasin
Sumatera Selatan;Banyu Asin
Sumatera Selatan;Ogan Komering Ulu Selatan
Sumatera Selatan;Ogan Komering Ulu Timur
Sumatera Selatan;Ogan Ilir
Sumatera Selatan;Empat Lawang
Sumatera Selatan;Penukal Abab Lematang llir
Sumatera Selatan;Musi Rawas Utara
Sumatera Selatan;Palembang
Sumatera Selatan;Prabumulih
Sumatera Selatan;Pagar Alam
Sumatera Selatan;Lubuklinggau
Bengkulu;Bengkulu Selatan
Bengkulu;Rejang Lebong
Bengkulu;Bengkulu Utara
Bengkulu;Kaur
Bengkulu;Seluma
Bengkulu;Mukomuko
Bengkulu;Lebong
Bengkulu;Kepahiang
