year;province_name;regency_name;poverty_amount;poverty_percentage;unemployed_percentage;uneducated_percentage
2023;Aceh;Simeulue;17620;17,92;55,42;69
2023;Aceh;Aceh Singkil;24620;19,15;46,66;69,95
2023;Aceh;Aceh Selatan;30360;12,1;60,49;70,65
2023;Aceh;Aceh Tenggara;27960;12,45;46,95;57,1
2023;Aceh;Aceh Timur;60630;13,39;55,87;70,92
2023;Aceh;Aceh Tengah;31680;14,38;26,24;58,92
2023;Aceh;Aceh Barat;38840;17,86;43,02;64,43
2023;Aceh;Aceh Besar;58940;13,38;38,2;57,35
2023;Aceh;Pidie;86790;18,78;48,28;63,62
2023;Aceh;Bireuen;59210;12,12;40,42;74,18
2023;Aceh;Aceh Utara;106770;16,64;49,11;71,56
2023;Aceh;Aceh Barat Daya;24310;15,43;50,62;65,24
2023;Aceh;Gayo Lues;18240;18,82;28,75;76,19
2023;Aceh;Aceh Tamiang;38370;12,51;56,79;55,69
2023;Aceh;Nagan Raya;29780;17,25;41,43;55,21
2023;Aceh;Aceh Jaya;12220;12,42;37,89;73,81
2023;Aceh;Bener Meriah;28190;18,31;28,41;45,17
2023;Aceh;Pidie Jaya;30740;18,4;53,03;49,15
2023;Aceh;Banda Aceh;19940;7,04;51,55;34,43
2023;Aceh;Sabang;5140;14,59;42,26;43,46
2023;Aceh;Langsa;19500;10,53;53,93;60,58
2023;Aceh;Lhokseumawe;23100;10,73;51,21;60,28
2023;Aceh;Subulussalam;13800;16,41;54,56;71,31
2023;Sumatera Utara;Nias;21990;15,1;27,42;81,24
2023;Sumatera Utara;Mandailing Natal;41040;8,86;43,11;78,22
2023;Sumatera Utara;Tapanuli Selatan;20090;7,01;34,53;61,69
2023;Sumatera Utara;Tapanuli Tengah;47090;11,5;31,8;74,9
2023;Sumatera Utara;Tapanuli Utara;26390;8,54;17,45;39,01
2023;Sumatera Utara;Toba Samosir;14940;8,04;14,03;57,57
2023;Sumatera Utara;Labuhanbatu;42580;7,99;40,17;65,67
2023;Sumatera Utara;Asahan;61690;8,21;45,83;68,61
2023;Sumatera Utara;Simalungun;69210;7,87;38,97;54,72
2023;Sumatera Utara;Dairi;21420;7,47;11,45;58,91
2023;Sumatera Utara;Karo;35650;7,98;19,93;51,46
2023;Sumatera Utara;Deli Serdang;82750;3,44;54,9;55,03
2023;Sumatera Utara;Langkat;98160;9,23;61,59;73,08
